,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
130,Montgomery,Property Damage Crash,2025-05-20 16:00:00,8,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.18186833,-77.26056667,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Germantown Rd (Sb/L)
131,Gaithersburg,Injury Crash,2025-05-20 15:20:00,3,Unknown,Front To Front,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.1482869,-77.23758292,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Clopper Rd
132,Montgomery,Property Damage Crash,2025-05-20 15:00:00,2,Unknown,Rear To Side,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.01332417,-77.00403256,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Indian Spring Dr
134,Montgomery,Property Damage Crash,2025-05-20 14:07:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15825367,-77.20442287,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Christopher Ave (Nb/L)
135,Montgomery,Injury Crash,2025-05-20 13:15:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.09554669,-76.93786648,No,Uphill,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Greencastle Rd
136,Takoma,Property Damage Crash,2025-05-20 12:35:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Parked Vehicle,38.987463,-76.9880445,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave (Sb/L)
137,Montgomery,Injury Crash,2025-05-20 12:07:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.03181922,-77.07477417,No,Level,Dry,Traffic Signals,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd W (Wb/L)
138,Montgomery,Property Damage Crash,2025-05-20 10:15:00,3,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05894521,-77.05800267,No,Level,Dry,Other,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Randolph Rd
139,Montgomery,Injury Crash,2025-05-20 09:10:00,"2, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0545175,-77.14307433,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Municipality Route,Farm Haven Dr
140,Montgomery,Property Damage Crash,2025-05-20 08:59:00,4,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10653101,-77.15930897,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,W Gude Dr
141,Montgomery,Injury Crash,2025-05-20 08:48:00,"2, 8",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14515908,-77.15013556,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",County Route,Shady Grove Rd
142,Montgomery,Property Damage Crash,2025-05-20 08:47:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.13314374,-77.24503356,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Great Seneca Hwy (Sb/L)
143,Montgomery,Injury Crash,2025-05-20 07:16:00,3,Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10618633,-77.0015705,No,"Downhill, Uphill",Dry,Traffic Signals,Intersection Or Related,Perpendicular,"Curve Left, Curve Right",No Defects,"Divided, Raised Median (Curbed)",County Route,Undisclosed
145,Montgomery,Property Damage Crash,2025-05-20 00:37:00,3,Driver,"Sideswipe, Same Direction",Clear,Dark - Lighted,Unknown,Parked Vehicle,39.04833069,-77.11375591,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike (Sb/L)
146,Montgomery,Property Damage Crash,2025-05-19 21:33:00,3,Driver,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Curb,39.02288367,-77.011417,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,"Curve Left, Curve Right",No Defects,"Divided, Raised Median (Curbed)",Us (State),Colesville Rd (Sb/L)
147,Montgomery,Injury Crash,2025-05-19 21:06:00,0,Unknown,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Pedestrian,39.032216,-77.00361283,No,Level,Dry,No/Unknown/Miscellaneous Control,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,Not Divided,Us (State),Columbia Pike
149,Montgomery,Property Damage Crash,2025-05-19 19:52:00,2,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Mailbox,39.14710167,-77.289615,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Right,No Defects,Not Divided,County Route,Riffle Ford Rd
150,Montgomery,Injury Crash,2025-05-19 18:36:00,"3, 4",Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05093933,-77.07368183,No,Level,Dry,Other,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Veirs Mill Rd (Wb/L)
151,Montgomery,Injury Crash,2025-05-19 18:18:00,4,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.1758257,-77.24634981,No,Level,Dry,No/Unknown/Miscellaneous Control,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Middlebrook Rd (Wb/L)
152,Montgomery,Property Damage Crash,2025-05-19 18:18:00,5,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.19011,-77.24931333,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Right,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Germantown Rd
153,Gaithersburg,Injury Crash,2025-05-19 16:57:00,1,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14553583,-77.19252633,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,N Summit Ave
154,Rockville,Injury Crash,2025-05-19 16:04:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.11545218,-77.17069264,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Municipality Route,King Farm Blvd
155,Montgomery,Injury Crash,2025-05-19 16:01:00,2,Unknown,Unknown,Clear,Daylight,Unknown,Not Applicable,39.1919257,-77.2800692,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Local Route,Deerwater Dr
156,Montgomery,Injury Crash,2025-05-19 16:00:00,5,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.06700186,-77.15037772,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Curve Right,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,Wootton Pkwy
157,Montgomery,Property Damage Crash,2025-05-19 15:45:00,1,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Traffic Sign Support,39.15241497,-77.07988937,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Morningwood Dr
158,Montgomery,Injury Crash,2025-05-19 14:56:00,5,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.96918598,-77.1103136,No,Uphill,Dry,Other,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,River Rd (Wb/L)
159,Montgomery,Property Damage Crash,2025-05-19 14:51:00,3,Unknown,"Sideswipe, Opposite Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.09500945,-77.11300243,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Norbeck Rd
160,Mcpark,Property Damage Crash,2025-05-19 14:30:00,3,Driver,Front To Rear,Clear,Daylight,Other,Motor Vehicle In Transport,39.18086249,-77.26247279,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Germantown Rd
162,Montgomery,Injury Crash,2025-05-19 13:40:00,1,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0477735,-77.08837733,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,County Route,Dewey Rd
163,Rockville,Property Damage Crash,2025-05-19 13:33:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.07449491,-77.13585372,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,W Edmonston Dr
164,Montgomery,Injury Crash,2025-05-19 13:15:00,4,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.02808443,-77.07650904,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Connecticut Ave (Sb/L)
165,Gaithersburg,Property Damage Crash,2025-05-19 12:37:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.140509,-77.20975617,No,Level,Dry,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,W Diamond Ave (Wb/L)
167,Montgomery,Property Damage Crash,2025-05-19 10:27:00,2,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.09518284,-77.11260584,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Baltimore Rd
168,Montgomery,Injury Crash,2025-05-19 09:24:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9830099,-77.07718217,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,Underwood St
169,Montgomery,Property Damage Crash,2025-05-19 08:40:00,4,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.11640833,-77.16537317,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Redland Rd
170,Rockville,Property Damage Crash,2025-05-19 08:14:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05841321,-77.1522538,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Curve Right,No Defects,Not Divided,Ramp,Ramp 10 Fr Ramp 4 To Tower Oaks Blvd
172,Montgomery,Property Damage Crash,2025-05-19 07:45:00,1,Driver,"Sideswipe, Opposite Direction",Clear,Daylight,Not Suspected,Parked Vehicle,39.0295735,-77.01447317,No,Level,Dry,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Eastwood Ave
